ensembl_gene_id	external_gene_name	description
ENSRNOG00000022837	Slc25a40	solute carrier family 25, member 40 [Source:RGD Symbol;Acc:1308774]
ENSRNOG00000016362	Gpr4	G protein-coupled receptor 4 [Source:RGD Symbol;Acc:1311604]
ENSRNOG00000026055	Neurod6	neuronal differentiation 6 [Source:RGD Symbol;Acc:1562793]
ENSRNOG00000056231	Rnu6-65	RNA, U6 small nuclear 65 [Source:RGD Symbol;Acc:40955348]
ENSRNOG00000063054	LOC108349838	vomeronasal type-1 receptor 1-like [Source:RGD Symbol;Acc:11378088]
ENSRNOG00000010616	Ndor1	NADPH dependent diflavin oxidoreductase 1 [Source:RGD Symbol;Acc:1308479]
ENSRNOG00000013671	Vom2r9	vomeronasal 2 receptor, 9 [Source:RGD Symbol;Acc:1591347]
ENSRNOG00000017307	Prss23	serine protease 23 [Source:RGD Symbol;Acc:1359545]
ENSRNOG00000066105	LOC120100401	small nucleolar RNA SNORA48 [Source:RGD Symbol;Acc:41102373]
ENSRNOG00000064098	LOC120100236	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41016316]
ENSRNOG00000035580	Mir3597-3	microRNA 3597-3 [Source:RGD Symbol;Acc:4888559]
ENSRNOG00000014000	Kif2a	kinesin family member 2A [Source:RGD Symbol;Acc:70974]
ENSRNOG00000056252	LOC120100399	small nucleolar RNA SNORA48 [Source:RGD Symbol;Acc:41270156]
ENSRNOG00000067915	LOC108349187	uncharacterized LOC108349187 [Source:RGD Symbol;Acc:11437431]
ENSRNOG00000037356	Dph6	diphthamine biosynthesis 6 [Source:RGD Symbol;Acc:1310006]
ENSRNOG00000015649	Or51a7b	olfactory receptor family 51 subfamily A member 7B [Source:RGD Symbol;Acc:1333806]
ENSRNOG00000054785	LOC120100498	U4 spliceosomal RNA [Source:RGD Symbol;Acc:41287817]
ENSRNOG00000020942	Plekha4	pleckstrin homology domain containing A4 [Source:RGD Symbol;Acc:735133]
ENSRNOG00000070165	Or8u8	olfactory receptor family 8 subfamily U member 8 [Source:RGD Symbol;Acc:1334276]
ENSRNOG00000018441	Ggt7	gamma-glutamyltransferase 7 [Source:RGD Symbol;Acc:619870]
ENSRNOG00000065481	LOC120100272	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:40979199]
ENSRNOG00000008738	Tp53i11	tumor protein p53 inducible protein 11 [Source:RGD Symbol;Acc:1308395]
ENSRNOG00000032600	Or10q12	olfactory receptor family 10 subfamily Q member 12 [Source:RGD Symbol;Acc:1333045]
ENSRNOG00000067951	LOC120100127	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41211547]
ENSRNOG00000061080	Kmt2c	lysine methyltransferase 2C [Source:RGD Symbol;Acc:1587205]
ENSRNOG00000017749	Nkg7	natural killer cell granule protein 7 [Source:RGD Symbol;Acc:621523]
ENSRNOG00000061288	Rnu6-630	RNA, U6 small nuclear 630 [Source:RGD Symbol;Acc:40956323]
ENSRNOG00000017079	Pgm2l1	phosphoglucomutase 2-like 1 [Source:RGD Symbol;Acc:1583226]
ENSRNOG00000017795	Hspbp1	HSPA (Hsp70) binding protein 1 [Source:RGD Symbol;Acc:628677]
ENSRNOG00000052745	Met	MET proto-oncogene, receptor tyrosine kinase [Source:RGD Symbol;Acc:3082]
ENSRNOG00000061338	LOC120100276	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41253898]
ENSRNOG00000065787	Mir3584	microRNA 3584 [Source:RGD Symbol;Acc:4888614]
ENSRNOG00000068787	Or13a26c	olfactory receptor family 13 subfamily A member 26C [Source:RGD Symbol;Acc:1332754]
ENSRNOG00000028120	AABR07011698.1	NULL
ENSRNOG00000007979	Phospho2	phosphatase, orphan 2 [Source:RGD Symbol;Acc:1359274]
ENSRNOG00000015657	Or51g2	olfactory receptor family 51 subfamily G member 2 [Source:RGD Symbol;Acc:1332641]
ENSRNOG00000064243	LOC102552287	uncharacterized LOC102552287 [Source:RGD Symbol;Acc:7518732]
ENSRNOG00000052607	Snora12	small nucleolar RNA, H/ACA box 12 [Source:RGD Symbol;Acc:41366654]
ENSRNOG00000040275	Tmem210	transmembrane protein 210 [Source:RGD Symbol;Acc:2318321]
ENSRNOG00000062792	Or8u8	olfactory receptor family 8 subfamily U member 8 [Source:RGD Symbol;Acc:1334276]
ENSRNOG00000052788	LOC120100357	small nucleolar RNA SNORA36 family [Source:RGD Symbol;Acc:41305700]
ENSRNOG00000063641	LOC120100292	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41185069]
ENSRNOG00000004852	Sel1l2	SEL1L2 adaptor subunit of SYVN1 ubiquitin ligase [Source:RGD Symbol;Acc:1311278]
ENSRNOG00000046320	Mir6315	microRNA 6315 [Source:RGD Symbol;Acc:7489020]
ENSRNOG00000042133	Ms4a4cl1	membrane-spanning 4-domains, subfamily A, member 4C like 1 [Source:RGD Symbol;Acc:1590971]
ENSRNOG00000031648	Or5b12b	olfactory receptor family 5 subfamily B member 12B [Source:RGD Symbol;Acc:1334063]
ENSRNOG00000016580	Rps23	ribosomal protein S23 [Source:RGD Symbol;Acc:621039]
ENSRNOG00000064592	LOC120100217	5S ribosomal RNA [Source:RGD Symbol;Acc:41245632]
ENSRNOG00000016189	Frmd5	FERM domain containing 5 [Source:RGD Symbol;Acc:1561554]
ENSRNOG00000054005	Rnu6-884	RNA, U6 small nuclear 884 [Source:RGD Symbol;Acc:41326680]
ENSRNOG00000069982	LOC120100110	5S ribosomal RNA [Source:RGD Symbol;Acc:41053224]
ENSRNOG00000052319	AABR07004881.1	NULL
ENSRNOG00000035639	Mir107	microRNA 107 [Source:RGD Symbol;Acc:2325578]
ENSRNOG00000027542	C1h10orf90	similar to human chromosome 10 open reading frame 90 [Source:RGD Symbol;Acc:2311471]
ENSRNOG00000067371	LOC120100244	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:40973358]
ENSRNOG00000009548	Fpgt	fucose-1-phosphate guanylyltransferase [Source:RGD Symbol;Acc:735121]
ENSRNOG00000008758	Tspan18	tetraspanin 18 [Source:RGD Symbol;Acc:1560411]
ENSRNOG00000009748	Or5p68	olfactory receptor family 5 subfamily P member 68 [Source:RGD Symbol;Acc:1334168]
ENSRNOG00000037333	Cldnd2	claudin domain containing 2 [Source:RGD Symbol;Acc:1566413]
ENSRNOG00000061755	LOC120100355	small nucleolar RNA SNORA36 family [Source:RGD Symbol;Acc:41059876]
ENSRNOG00000064493	Rnu6-588	RNA, U6 small nuclear 588 [Source:RGD Symbol;Acc:41232861]
ENSRNOG00000009258	Cdk6	cyclin-dependent kinase 6 [Source:RGD Symbol;Acc:621121]
ENSRNOG00000021478	Tpd52l1	TPD52 like 1 [Source:RGD Symbol;Acc:1594796]
ENSRNOG00000017330	AC103221.1	NULL
ENSRNOG00000062409	Or13a25	olfactory receptor family 13 subfamily A member 25 [Source:RGD Symbol;Acc:1333205]
ENSRNOG00000009764	Or8k20	olfactory receptor family 8 subfamily K member 20 [Source:RGD Symbol;Acc:1333129]
ENSRNOG00000065302	Mir344b-1	microRNA 344b-1 [Source:RGD Symbol;Acc:4888550]
ENSRNOG00000018090	Ppp6r1	protein phosphatase 6, regulatory subunit 1 [Source:RGD Symbol;Acc:1311409]
ENSRNOG00000069157	Chchd4	coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:RGD Symbol;Acc:1310746]
ENSRNOG00000068228	LOC120100268	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:40943897]
ENSRNOG00000069767	Vom2r6	vomeronasal 2 receptor, 6 [Source:RGD Symbol;Acc:1562697]
ENSRNOG00000057952	Snord101	small nucleolar RNA, C/D box 101 [Source:RGD Symbol;Acc:41042371]
ENSRNOG00000052180	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RGD Symbol;Acc:15006963]
ENSRNOG00000059329	LOC120100156	U1 spliceosomal RNA [Source:RGD Symbol;Acc:41241885]
ENSRNOG00000015230	Ermard	ER membrane-associated RNA degradation [Source:RGD Symbol;Acc:1309374]
ENSRNOG00000011830	Plekha3	pleckstrin homology domain containing A3 [Source:RGD Symbol;Acc:1305244]
ENSRNOG00000017069	Mark4	microtubule affinity regulating kinase 4 [Source:RGD Symbol;Acc:1591792]
ENSRNOG00000070507	Or4f57	olfactory receptor family 4 subfamily F member 57 [Source:RGD Symbol;Acc:1334408]
ENSRNOG00000021013	Stx3	syntaxin 3 [Source:RGD Symbol;Acc:621005]
ENSRNOG00000033009	Or13g1	olfactory receptor family 13 subfamily G member 1 [Source:RGD Symbol;Acc:1333584]
ENSRNOG00000065333	Mir344b-2	microRNA mir-344b-2 [Source:RGD Symbol;Acc:14398575]
ENSRNOG00000067419	Or51f1f	olfactory receptor family 51 subfamily F member 1F [Source:RGD Symbol;Acc:1332889]
ENSRNOG00000061678	Snord100	small nucleolar RNA, C/D box 100 [Source:RGD Symbol;Acc:41230696]
ENSRNOG00000059948	LOC120100266	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41104542]
ENSRNOG00000018677	Akt2	AKT serine/threonine kinase 2 [Source:RGD Symbol;Acc:2082]
ENSRNOG00000059640	Ccl28	C-C motif chemokine ligand 28 [Source:RGD Symbol;Acc:619937]
ENSRNOG00000057111	LOC120100345	U2 spliceosomal RNA [Source:RGD Symbol;Acc:40962449]
ENSRNOG00000069344	Or5b96	olfactory receptor family 5 subfamily B member 96 [Source:RGD Symbol;Acc:1333323]
ENSRNOG00000066688	LOC120101961	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41083699]
ENSRNOG00000016878	Plppr5	phospholipid phosphatase related 5 [Source:RGD Symbol;Acc:1309567]
ENSRNOG00000063734	Or5d35	olfactory receptor family 5 subfamily D member 35 [Source:RGD Symbol;Acc:1594971]
ENSRNOG00000054517	Snora33	small nucleolar RNA, H/ACA box 33 [Source:RGD Symbol;Acc:41244766]
ENSRNOG00000020420	Pklr	pyruvate kinase L/R [Source:RGD Symbol;Acc:3336]
ENSRNOG00000069038	LOC120100240	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41123320]
ENSRNOG00000056439	Rnu6-395	RNA, U6 small nuclear 395 [Source:RGD Symbol;Acc:41010141]
ENSRNOG00000069280	Mir344b-3	microRNA mir-344b-3 [Source:RGD Symbol;Acc:14398600]
ENSRNOG00000066733	LOC120100420	U2 spliceosomal RNA [Source:RGD Symbol;Acc:41118710]
ENSRNOG00000019207	Shank1	SH3 and multiple ankyrin repeat domains 1 [Source:RGD Symbol;Acc:621011]
ENSRNOG00000063312	LOC120100783	uncharacterized LOC120100783 [Source:RGD Symbol;Acc:41047054]
ENSRNOG00000065294	Rnu6-1089	RNA, U6 small nuclear 1089 [Source:RGD Symbol;Acc:41346969]
ENSRNOG00000018394	Chrdl2	chordin-like 2 [Source:RGD Symbol;Acc:1306179]
ENSRNOG00000056660	AABR07025928.1	NULL
ENSRNOG00000004645	Galnt5	polypeptide N-acetylgalactosaminyltransferase 5 [Source:RGD Symbol;Acc:620361]
ENSRNOG00000015760	Or51l1	olfactory receptor family 51 subfamily L member 1 [Source:RGD Symbol;Acc:1333532]
ENSRNOG00000011145	Crhr2	corticotropin releasing hormone receptor 2 [Source:RGD Symbol;Acc:70547]
ENSRNOG00000070234	Zfp141	zinc finger protein 141 [Source:RGD Symbol;Acc:1597345]
ENSRNOG00000053284	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSRNOG00000030326	Or5b24	olfactory receptor family 5 subfamily B member 24 [Source:RGD Symbol;Acc:1333125]
ENSRNOG00000063681	LOC120100216	U7 small nuclear RNA [Source:RGD Symbol;Acc:41218420]
ENSRNOG00000065437	LOC120100247	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41324388]
ENSRNOG00000013520	Mat2a	methionine adenosyltransferase 2A [Source:RGD Symbol;Acc:619985]
ENSRNOG00000049574	Mir3102	microRNA 3102 [Source:RGD Symbol;Acc:7489033]
ENSRNOG00000058157	Ldlrad3	low density lipoprotein receptor class A domain containing 3 [Source:RGD Symbol;Acc:1307846]
ENSRNOG00000016714	Nrap	nebulin-related anchoring protein [Source:RGD Symbol;Acc:1306731]
ENSRNOG00000062953	LOC120102134	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41005833]
ENSRNOG00000018755	Acss2	acyl-CoA synthetase short-chain family member 2 [Source:RGD Symbol;Acc:1305489]
ENSRNOG00000052956	Rnu6-75	RNA, U6 small nuclear 75 [Source:RGD Symbol;Acc:41167968]
ENSRNOG00000005921	Or9m1b	olfactory receptor family 9 subfamily M member 1B [Source:RGD Symbol;Acc:1333682]
ENSRNOG00000068102	LOC120100280	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41202669]
ENSRNOG00000035648	Mir211	microRNA 211 [Source:RGD Symbol;Acc:2325549]
ENSRNOG00000062789	Or13a26b	olfactory receptor family 13 subfamily A member 26B [Source:RGD Symbol;Acc:1334099]
ENSRNOG00000015764	Or51p1	olfactory receptor family 51 subfamily P member 1 [Source:RGD Symbol;Acc:1589774]
ENSRNOG00000015734	Ube3a	ubiquitin protein ligase E3A [Source:RGD Symbol;Acc:1306361]
ENSRNOG00000070505	Or4f15	olfactory receptor family 4 subfamily F member 15 [Source:RGD Symbol;Acc:1333867]
ENSRNOG00000067158	LOC120100492	small nucleolar RNA U3 [Source:RGD Symbol;Acc:41322568]
ENSRNOG00000065842	Rnu6-107	RNA, U6 small nuclear 107 [Source:RGD Symbol;Acc:41288477]
ENSRNOG00000056404	Rnu6-894	RNA, U6 small nuclear 894 [Source:RGD Symbol;Acc:41359684]
ENSRNOG00000061046	Golga3-ps1	golgin A3, pseudogene 1 [Source:RGD Symbol;Acc:1565361]
ENSRNOG00000066619	Or6f1	olfactory receptor family 6 subfamily F member 1 [Source:RGD Symbol;Acc:1334399]
ENSRNOG00000052832	LOC120100391	small nucleolar RNA SNORA51 [Source:RGD Symbol;Acc:41097335]
ENSRNOG00000011653	Washc2c	WASH complex subunit 2C [Source:RGD Symbol;Acc:735230]
ENSRNOG00000065226	Ufm1	ubiquitin-fold modifier 1 [Source:RGD Symbol;Acc:1304890]
ENSRNOG00000056469	Mir290	microRNA 290 [Source:RGD Symbol;Acc:2325374]
ENSRNOG00000066170	LOC120100402	small nucleolar RNA SNORA48 [Source:RGD Symbol;Acc:41098464]
ENSRNOG00000021472	Ermn	ermin [Source:RGD Symbol;Acc:1308367]
ENSRNOG00000006753	Tgm3	transglutaminase 3 [Source:RGD Symbol;Acc:1561831]
ENSRNOG00000039466	Hyal5	hyaluronoglucosaminidase 5 [Source:RGD Symbol;Acc:1566275]
ENSRNOG00000067889	Y_RNA	Y RNA [Source:RGD Symbol;Acc:150341645]
ENSRNOG00000066931	Or5b100	olfactory receptor family 5 subfamily B member 100 [Source:RGD Symbol;Acc:1333760]
ENSRNOG00000019023	Tars1	threonyl-tRNA synthetase 1 [Source:RGD Symbol;Acc:1359527]
ENSRNOG00000066273	LOC120100241	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:40973162]
ENSRNOG00000069276	Zfp619l1	zinc finger protein 619 like 1 [Source:RGD Symbol;Acc:7683572]
ENSRNOG00000059393	LOC120100161	U6 spliceosomal RNA [Source:RGD Symbol;Acc:40936004]
ENSRNOG00000015769	Or52e2	olfactory receptor family 52 subfamily E member 2 [Source:RGD Symbol;Acc:1334015]
ENSRNOG00000013711	Or14c44-ps1	olfactory receptor family 14 subfamily C member 44, pseudogene 1 [Source:RGD Symbol;Acc:1333037]
ENSRNOG00000060327	LOC120102049	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41258419]
ENSRNOG00000063784	Or5d41b	olfactory receptor family 5 subfamily D member 41B [Source:RGD Symbol;Acc:1333687]
ENSRNOG00000056619	Rnu12-2l	RNA, U12 small nuclear 2 like [Source:RGD Symbol;Acc:41263002]
ENSRNOG00000001589	Evx2	even-skipped homeobox 2 [Source:RGD Symbol;Acc:1305594]
ENSRNOG00000054452	LOC120100374	small nucleolar RNA SNORA42/SNORA80 family [Source:RGD Symbol;Acc:41348685]
ENSRNOG00000051537	LOC120100479	U6atac minor spliceosomal RNA [Source:RGD Symbol;Acc:41377637]
ENSRNOG00000052091	Rnu6-249	RNA, U6 small nuclear 249 [Source:RGD Symbol;Acc:41179729]
ENSRNOG00000057094	Or5b104b	olfactory receptor family 5 subfamily B member 104B [Source:RGD Symbol;Acc:1333912]
ENSRNOG00000068142	LOC120100475	U2 spliceosomal RNA [Source:RGD Symbol;Acc:41343633]
ENSRNOG00000055112	Rnu6-799	RNA, U6 small nuclear 799 [Source:RGD Symbol;Acc:41045503]
ENSRNOG00000062973	LOC120099104	uncharacterized LOC120099104 [Source:RGD Symbol;Acc:41063986]
ENSRNOG00000062771	LOC120100262	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41042878]
ENSRNOG00000024213	Golim4	golgi integral membrane protein 4 [Source:RGD Symbol;Acc:1310948]
ENSRNOG00000027808	Lilra5	leukocyte immunoglobulin like receptor A5 [Source:RGD Symbol;Acc:1582781]
ENSRNOG00000052454	LOC120102053	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41098018]
ENSRNOG00000070396	Or4f59	olfactory receptor family 4 subfamily F member 59 [Source:RGD Symbol;Acc:1332868]
ENSRNOG00000033200	Or52s1b	olfactory receptor family 52 subfamily S member 1B [Source:RGD Symbol;Acc:1333176]
ENSRNOG00000068411	Or5d14l1	olfactory receptor family 5 subfamily D member 14 like 1 [Source:RGD Symbol;Acc:2318201]
ENSRNOG00000060056	Rnu6-859	RNA, U6 small nuclear 859 [Source:RGD Symbol;Acc:41247671]
ENSRNOG00000055997	LOC120100175	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41103001]
ENSRNOG00000038176	Ufm1	ubiquitin-fold modifier 1 [Source:RGD Symbol;Acc:1304890]
ENSRNOG00000052444	Samd9	sterile alpha motif domain containing 9 [Source:RGD Symbol;Acc:1563091]
ENSRNOG00000070611	Rnu6-613	RNA, U6 small nuclear 613 [Source:RGD Symbol;Acc:41401218]
ENSRNOG00000063442	LOC120100378	U2 spliceosomal RNA [Source:RGD Symbol;Acc:41351795]
ENSRNOG00000067530	LOC103691527	uncharacterized LOC103691527 [Source:RGD Symbol;Acc:9202401]
ENSRNOG00000013102	Npdc1	neural proliferation, differentiation and control, 1 [Source:RGD Symbol;Acc:1303156]
ENSRNOG00000049772	Gemin7	gem (nuclear organelle) associated protein 7 [Source:RGD Symbol;Acc:1597035]
ENSRNOG00000058310	LOC120102079	small nucleolar RNA SNORA40 [Source:RGD Symbol;Acc:41117082]
ENSRNOG00000053859	Ranbp6	RAN binding protein 6 [Source:RGD Symbol;Acc:1305165]
ENSRNOG00000054388	LOC120100184	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41228858]
ENSRNOG00000066887	Nid2l2	nidogen 2 like 2 [Source:RGD Symbol;Acc:7734973]
ENSRNOG00000053929	RNaseP_nuc	Nuclear RNase P [Source:RGD Symbol;Acc:15008289]
ENSRNOG00000030275	Or52s1	olfactory receptor family 52 subfamily S member 1 [Source:RGD Symbol;Acc:1333158]
ENSRNOG00000063685	Or4c114	olfactory receptor family 4 subfamily C member 114 [Source:RGD Symbol;Acc:1333042]
ENSRNOG00000018915	Tagap	T-cell activation RhoGTPase activating protein [Source:RGD Symbol;Acc:1308618]
ENSRNOG00000051409	LOC120100372	small nucleolar RNA SNORA44 [Source:RGD Symbol;Acc:41062554]
ENSRNOG00000020358	Ptov1	PTOV1, extended AT-hook containing adaptor protein [Source:RGD Symbol;Acc:1306977]
ENSRNOG00000067379	LOC120102131	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41261021]
ENSRNOG00000068758	LOC120100151	U6 spliceosomal RNA [Source:RGD Symbol;Acc:40964929]
ENSRNOG00000025214	AC099360.1	glycerol-3-phosphate dehydrogenase 1 like 3 [Source:RGD Symbol;Acc:1561560]
ENSRNOG00000063955	LOC120100271	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41148090]
ENSRNOG00000064903	Apbh	androgen-binding protein eta [Source:RGD Symbol;Acc:1596105]
ENSRNOG00000065819	LOC120100376	small nucleolar RNA SNORA2/SNORA34 family [Source:RGD Symbol;Acc:41166428]
ENSRNOG00000054102	LOC120100468	small nucleolar RNA SNORA76 [Source:RGD Symbol;Acc:41294589]
ENSRNOG00000058869	AABR07006740.1	NULL
ENSRNOG00000064667	Tmem86b	transmembrane protein 86B [Source:RGD Symbol;Acc:1593455]
ENSRNOG00000058919	LOC120102077	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:40933123]
ENSRNOG00000053502	Arhgef17	Rho guanine nucleotide exchange factor 17 [Source:RGD Symbol;Acc:1309890]
ENSRNOG00000065888	Rnu6-525	RNA, U6 small nuclear 525 [Source:RGD Symbol;Acc:41277114]
ENSRNOG00000021442	Hddc2	HD domain containing 2 [Source:RGD Symbol;Acc:1307562]
ENSRNOG00000050321	Zzz3	zinc finger, ZZ-type containing 3 [Source:RGD Symbol;Acc:1565468]
ENSRNOG00000020307	Cfap276	cilia and flagella associated protein 276 [Source:RGD Symbol;Acc:1309139]
ENSRNOG00000064160	LOC120100091	uncharacterized LOC120100091 [Source:RGD Symbol;Acc:41258807]
ENSRNOG00000015785	Or52e3	olfactory receptor family 52 subfamily E member 3 [Source:RGD Symbol;Acc:1333207]
ENSRNOG00000017291	Sord	sorbitol dehydrogenase [Source:RGD Symbol;Acc:3734]
ENSRNOG00000068866	LOC120100387	U2 spliceosomal RNA [Source:RGD Symbol;Acc:40956054]
ENSRNOG00000062610	Olr623	olfactory receptor 623 [Source:RGD Symbol;Acc:1334023]
ENSRNOG00000014278	Zfp710	zinc finger protein 710 [Source:RGD Symbol;Acc:1306491]
ENSRNOG00000009571	Wipf3	WAS/WASL interacting protein family, member 3 [Source:RGD Symbol;Acc:708559]
ENSRNOG00000049605	Zfp296	zinc finger protein 296 [Source:RGD Symbol;Acc:1595818]
ENSRNOG00000024016	LOC120098584	cytochrome P450 2C7-like [Source:RGD Symbol;Acc:41099479]
ENSRNOG00000008663	Nat10	N-acetyltransferase 10 [Source:RGD Symbol;Acc:1306717]
ENSRNOG00000063622	LOC120102130	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41256231]
ENSRNOG00000055316	Scarna15	small Cajal body-specific RNA 15 [Source:RGD Symbol;Acc:7489047]
ENSRNOG00000063802	LOC120100330	small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41200237]
ENSRNOG00000057140	LOC120100172	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41192708]
ENSRNOG00000022921	Dact2	dishevelled-binding antagonist of beta-catenin 2 [Source:RGD Symbol;Acc:1310742]
ENSRNOG00000054856	Or5bb12	olfactory receptor family 5 subfamily BB member 12 [Source:RGD Symbol;Acc:1333219]
ENSRNOG00000037360	AABR07003173.1	NULL
ENSRNOG00000015902	Cpxm2	carboxypeptidase X (M14 family), member 2 [Source:RGD Symbol;Acc:1310955]
ENSRNOG00000000009	Tmco5b	transmembrane and coiled-coil domains 5B [Source:RGD Symbol;Acc:1561237]
ENSRNOG00000020624	Acadsb	acyl-CoA dehydrogenase, short/branched chain [Source:RGD Symbol;Acc:2013]
ENSRNOG00000060363	Rnu6-946	RNA, U6 small nuclear 946 [Source:RGD Symbol;Acc:41049822]
ENSRNOG00000069765	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSRNOG00000065994	LOC120100257	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:40983475]
ENSRNOG00000058025	LOC120100414	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41157562]
ENSRNOG00000013981	Ptpn5	protein tyrosine phosphatase, non-receptor type 5 [Source:RGD Symbol;Acc:3448]
ENSRNOG00000069407	Or4a66c	olfactory receptor family 4 subfamily A member 66C [Source:RGD Symbol;Acc:1334434]
ENSRNOG00000021290	Or52e19	olfactory receptor family 52 subfamily E member 19 [Source:RGD Symbol;Acc:1332971]
ENSRNOG00000015928	Dhx35	DEAH-box helicase 35 [Source:RGD Symbol;Acc:1311165]
ENSRNOG00000019942	Fbxo17	F-box protein 17 [Source:RGD Symbol;Acc:1308308]
ENSRNOG00000021912	Gpr152	G protein-coupled receptor 152 [Source:RGD Symbol;Acc:1584082]
ENSRNOG00000059083	LOC120100370	small nucleolar RNA SNORA44 [Source:RGD Symbol;Acc:41111402]
ENSRNOG00000059239	LOC120100361	small nucleolar RNA SNORA15 [Source:RGD Symbol;Acc:41041741]
ENSRNOG00000030818	C1h11orf42	similar to human chromosome 11 open reading frame 42 [Source:RGD Symbol;Acc:1561034]
ENSRNOG00000065632	LOC120100263	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:40983518]
ENSRNOG00000053212	LOC120102015	small nucleolar RNA SNORA2/SNORA34 family [Source:RGD Symbol;Acc:40977097]
ENSRNOG00000000091	Smad9	SMAD family member 9 [Source:RGD Symbol;Acc:71004]
ENSRNOG00000062307	Vmn2r116l-ps24	vomeronasal 2, receptor 116 like, pseudogene 24 [Source:RGD Symbol;Acc:6500225]
ENSRNOG00000068808	LOC120100428	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41332067]
ENSRNOG00000043114	Tomm7	translocase of outer mitochondrial membrane 7 [Source:RGD Symbol;Acc:1591393]
ENSRNOG00000053939	AABR07010787.1	NULL
ENSRNOG00000056693	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSRNOG00000055223	LOC120100474	small nucleolar RNA SNORD88 [Source:RGD Symbol;Acc:40967854]
ENSRNOG00000067758	Slc10a5	solute carrier family 10, member 5 [Source:RGD Symbol;Acc:1306036]
ENSRNOG00000017930	Lpcat1	lysophosphatidylcholine acyltransferase 1 [Source:RGD Symbol;Acc:1311599]
ENSRNOG00000068161	Or4p20	olfactory receptor family 4 subfamily P member 20 [Source:RGD Symbol;Acc:1332692]
ENSRNOG00000043280	Vom2r37	vomeronasal 2 receptor, 37 [Source:RGD Symbol;Acc:1597332]
ENSRNOG00000070663	LOC120102035	small nucleolar RNA SNORA48 [Source:RGD Symbol;Acc:41148402]
ENSRNOG00000060826	Or52ab2	olfactory receptor family 52 subfamily AB member 2 [Source:RGD Symbol;Acc:1333956]
